record_id,market_id,geo_id,segment_value_id,year,market_value_usd_m,market_volume_units,unit_of_measure,data_type
1,MKT-101,GEO-GLO,,2020,160500.00,3100.00,USD Million,Actual
2,MKT-101,GEO-GLO,,2021,287400.00,6500.00,USD Million,Actual
3,MKT-101,GEO-GLO,,2022,384200.00,10200.00,USD Million,Actual
4,MKT-101,GEO-GLO,,2023,500480.00,14000.00,USD Million,Estimate
5,MKT-101,GEO-CN,,2023,210500.00,7500.00,USD Million,Estimate
6,MKT-101,GEO-US,,2023,85200.00,1600.00,USD Million,Estimate
7,MKT-101,GEO-DE,,2023,65400.00,700.00,USD Million,Estimate
8,MKT-101,GEO-NO,,2023,12100.00,110.00,USD Million,Estimate
9,MKT-101,GEO-JP,,2023,14500.00,140.00,USD Million,Estimate
10,MKT-101,GEO-IN,,2023,5220.00,1500.00,USD Million,Estimate
11,MKT-101,GEO-GLO,SV-05,2023,350000.00,9800.00,USD Million,Estimate
12,MKT-101,GEO-GLO,SV-06,2023,150480.00,4200.00,USD Million,Estimate
13,MKT-101,GEO-CN,SV-05,2023,140000.00,5000.00,USD Million,Estimate
14,MKT-101,GEO-US,SV-05,2023,70000.00,1200.00,USD Million,Estimate
15,MKT-101,GEO-IN,SV-03,2023,3100.00,1200.00,USD Million,Estimate
16,MKT-101,GEO-VN,SV-03,2023,850.00,450.00,USD Million,Estimate
17,MKT-101,GEO-ID,SV-03,2023,620.00,300.00,USD Million,Estimate
18,MKT-102,GEO-GLO,,2023,55000.00,,USD Million,Estimate
19,MKT-102,GEO-CN,,2023,32000.00,,USD Million,Estimate
20,MKT-102,GEO-GLO,SV-09,2023,22000.00,,USD Million,Estimate
21,MKT-102,GEO-GLO,SV-08,2023,31000.00,,USD Million,Estimate
22,MKT-103,GEO-GLO,,2023,32260.00,,USD Million,Estimate
23,MKT-103,GEO-CN,,2023,14500.00,,USD Million,Estimate
24,MKT-103,GEO-US,,2023,4100.00,,USD Million,Estimate
25,MKT-103,GEO-GLO,SV-15,2023,23500.00,,USD Million,Estimate
26,MKT-103,GEO-GLO,SV-14,2023,8000.00,,USD Million,Estimate
27,MKT-104,GEO-GLO,,2023,16500.00,,USD Million,Estimate
28,MKT-104,GEO-CN,,2023,8200.00,,USD Million,Estimate
29,MKT-101,GEO-TH,,2023,2100.00,75.00,USD Million,Estimate
30,MKT-101,GEO-BR,,2023,1800.00,50.00,USD Million,Estimate
31,MKT-106,GEO-GLO,,2023,7800.00,,USD Million,Estimate
32,MKT-107,GEO-GLO,,2023,4500.00,,USD Million,Estimate
33,MKT-108,GEO-GLO,,2023,9200.00,,USD Million,Estimate
34,MKT-109,GEO-GLO,,2023,3100.00,,USD Million,Estimate
35,MKT-101,GEO-FR,,2023,22400.00,310.00,USD Million,Estimate
36,MKT-101,GEO-UK,,2023,19800.00,315.00,USD Million,Estimate
37,MKT-101,GEO-KR,,2023,11200.00,160.00,USD Million,Estimate
38,MKT-101,GEO-SE,,2023,8400.00,110.00,USD Million,Estimate
39,MKT-101,GEO-NL,,2023,7100.00,120.00,USD Million,Estimate
40,MKT-101,GEO-AU,,2023,3200.00,85.00,USD Million,Estimate
41,MKT-103,GEO-NL,,2023,1200.00,,USD Million,Estimate
42,MKT-103,GEO-NO,,2023,850.00,,USD Million,Estimate
43,MKT-102,GEO-KR,,2023,8400.00,,USD Million,Estimate
44,MKT-101,GEO-TR,,2023,1500.00,65.00,USD Million,Estimate
45,MKT-101,GEO-AE,,2023,950.00,25.00,USD Million,Estimate